zip_code,value,latitude,longitude
33023,218,25.9894,-80.2153
75071,218,33.1976,-96.6153
20716,218,38.9263,-76.7098
90012,217,34.0614,-118.2385
33324,217,26.1255,-80.2644
92883,217,33.7541,-117.474
90046,216,34.1074,-118.3652
30214,216,33.4679,-84.4806
10035,215,40.8011,-73.9371
30045,215,33.9367,-83.9573
10465,215,40.8261,-73.8196
02302,214,42.0847,-71.0002
10801,214,40.9166,-73.7877
90745,214,33.823,-118.2684
28216,214,35.2834,-80.8702
08861,214,40.5176,-74.2754
77396,213,29.9507,-95.2622
21133,212,39.3746,-76.8002
77047,212,29.6254,-95.375
27703,212,35.9781,-78.8439
28217,211,35.1714,-80.9084
38654,211,34.9441,-89.8544
10704,211,40.9176,-73.8593
32256,211,30.2214,-81.5571
11206,210,40.7012,-73.9436
21113,210,39.0762,-76.6996
90047,210,33.9569,-118.3073
77019,209,29.7517,-95.4054
70737,208,30.2473,-90.918
33160,208,25.9449,-80.1391
30064,207,33.9343,-84.6076
07111,207,40.7261,-74.2313
33009,207,25.985,-80.1407
20020,207,38.86,-76.9742
28078,206,35.4011,-80.8695
90746,205,33.8584,-118.2554
19145,205,39.9227,-75.1812
75001,205,32.96,-96.8385
32828,205,28.5523,-81.1795
60654,204,41.8923,-87.6373
30038,204,33.6823,-84.161
60637,203,41.7813,-87.6051
30315,202,33.7051,-84.3808
11412,202,40.6958,-73.7617
75070,201,33.1976,-96.6153
02368,201,42.1736,-71.0514
91344,201,34.2771,-118.4992
91710,200,34.0125,-117.6844
91203,200,34.1517,-118.2636
30019,200,33.9883,-83.8795
33179,200,25.9571,-80.1814
20001,199,38.9122,-77.0177
30228,199,33.4124,-84.2947
20906,199,39.084,-77.0613
37013,198,36.0595,-86.6592
33351,198,26.1793,-80.2746
21075,197,39.2058,-76.7531
94591,197,38.0985,-122.2124
33579,197,27.8024,-82.2755
77008,197,29.7991,-95.4118
90034,197,34.029,-118.4005
77578,196,29.4694,-95.3503
70072,196,29.8598,-90.1105
07036,196,40.6354,-74.2556
33029,195,25.9924,-80.4089
11230,194,40.6225,-73.965
33178,194,25.8141,-80.3549
33032,193,25.5303,-80.3918
30066,193,34.0378,-84.5038
22314,193,38.806,-77.0529
10037,193,40.8135,-73.9381
20782,192,38.9647,-76.9649
91350,192,34.4336,-118.5007
90706,192,33.8867,-118.1265
30078,192,33.8635,-84.0081
30047,192,33.8656,-84.0725
77044,191,29.8635,-95.1976
75078,191,33.2362,-96.7954
07024,190,40.8503,-73.9745
33063,190,26.2674,-80.2092
91709,190,33.9797,-117.7308
10029,190,40.7918,-73.9447
75035,190,33.1377,-96.7524
77003,189,29.7489,-95.3391
70461,189,30.2726,-89.729
33177,189,25.5968,-80.4046
89139,188,36.0129,-115.2118
08854,188,40.5515,-74.459
07093,187,40.7888,-74.0115
08081,187,39.7354,-74.9864
33071,187,26.2435,-80.2601
30032,187,33.7408,-84.2632
20874,187,39.1355,-77.2822
19709,186,39.4815,-75.6832
33024,186,26.0296,-80.2489
33301,186,26.1216,-80.1288
92019,186,32.7777,-116.9191
19131,185,39.9845,-75.2282
07104,185,40.7664,-74.1695
75207,185,32.7939,-96.8319
10550,184,40.9079,-73.838
92154,184,32.5753,-117.0707
20743,183,38.8897,-76.8925
94568,183,37.7166,-121.9226
94531,183,37.9658,-121.7758
33126,183,25.7763,-80.2919
07302,183,40.7221,-74.0469
38125,182,35.0312,-89.8124
33018,182,25.9098,-80.3889
07728,182,40.2458,-74.2768
30236,182,33.5242,-84.359
27616,182,35.8673,-78.5381
07631,182,40.8943,-73.9772
33647,182,28.1147,-82.3678
90650,182,33.9056,-118.0818
07470,181,40.9471,-74.2466
60617,181,41.7257,-87.556
30350,181,33.9795,-84.3411
70769,181,30.3073,-90.9405
70816,180,30.4273,-91.0356
10031,180,40.8246,-73.9507
33175,180,25.7341,-80.4068
89052,180,35.9878,-115.1167
33073,180,26.2997,-80.181
33323,180,26.152,-80.3165
33195,180,25.7729,-80.187
91326,179,34.2619,-118.582
85339,179,33.3436,-112.1716
10019,179,40.7651,-73.9858
92108,179,32.7783,-117.1335
90019,179,34.0482,-118.3343
22026,179,38.5669,-77.2921
90049,178,34.066,-118.474
07010,178,40.8222,-73.988
60443,178,41.5102,-87.7406
70126,178,29.9987,-90.0446
30016,178,33.5146,-83.8626
20745,178,38.8108,-76.9898
07644,178,40.8764,-74.0838
08046,177,40.029,-74.8835
07018,177,40.7558,-74.2198
90018,177,34.029,-118.3152
90280,177,33.9462,-118.2013
11235,177,40.5839,-73.9536
91761,176,34.0316,-117.6187
90805,176,33.8635,-118.1801
30004,176,34.1124,-84.302
30097,175,34.026,-84.147
70131,175,29.9168,-89.996
23666,175,37.0462,-76.4096
75054,175,32.5907,-97.0405
11413,175,40.6645,-73.7559
90044,174,33.9551,-118.2901
30144,174,34.0287,-84.6047
94612,174,37.8085,-122.2668
30813,173,33.4504,-82.1982
33192,173,25.7743,-80.1937
20024,173,38.8759,-77.016
91504,173,34.2001,-118.3264
30122,172,33.7655,-84.6469
78253,172,29.4599,-98.7479
10705,172,40.9177,-73.895
32810,172,28.6214,-81.4294
19702,172,39.6349,-75.6993
90802,172,33.7706,-118.182
60608,172,41.8515,-87.6694
75082,171,32.9865,-96.686
11553,171,40.702,-73.592
20724,170,39.0958,-76.8155
89113,170,36.0854,-115.2566
10473,170,40.8194,-73.8606
75234,169,32.9245,-96.8938
77545,169,29.5293,-95.4626
33139,169,25.7873,-80.1564
33020,168,26.0161,-80.1517
48044,167,42.6442,-82.8985
94533,167,38.2671,-122.0357
77057,167,29.7422,-95.4903
28027,167,35.4141,-80.6162
20705,166,39.0455,-76.9242
30310,166,33.7278,-84.4232
90241,166,33.9416,-118.1306
77006,166,29.7409,-95.3923
07020,166,40.8317,-73.9738
30101,166,34.0756,-84.6477
90301,166,33.955,-118.3556
10034,166,40.8662,-73.9221
33317,165,26.1122,-80.2264
21060,165,39.1702,-76.5798
90035,165,34.0531,-118.3806
07109,165,40.7946,-74.1631
75056,165,33.094,-96.8836
60612,165,41.8805,-87.6873
85251,165,33.4936,-111.9167
33023,164,25.9894,-80.2153
11209,164,40.6251,-74.0303
32825,164,28.5469,-81.2571
29016,164,34.1911,-80.9758
30341,163,33.8879,-84.2905
77373,163,30.0532,-95.3773
94605,163,37.7641,-122.1633
75024,163,33.0752,-96.7843
11435,163,40.7029,-73.8111
60628,163,41.6934,-87.6243
33029,163,25.9924,-80.4089
20695,162,38.5974,-76.9903
90305,162,33.9583,-118.3259
75206,161,32.831,-96.7692
23462,161,36.8392,-76.1522
10016,161,40.7443,-73.9781
32703,161,28.6354,-81.4888
89135,161,36.1378,-115.3261
94513,161,37.9324,-121.6894
